description,category,priority,created_hour,created_dow,resolution_time_hours
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,17,0,5.39
El internet está muy lento y no logro conectarme bien,TECH,medium,8,4,6.94
El internet está muy lento y no logro conectarme bien,TECH,low,12,6,5.32
Necesito cancelar mi servicio lo antes posible,CNCL,medium,16,3,1.98
El internet está muy lento y no logro conectarme bien,TECH,medium,15,5,5.63
Necesito cancelar mi servicio lo antes posible,CNCL,medium,12,4,1.92
Mi factura tiene un cobro que no reconozco este mes,BILL,high,2,0,2.22
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,7,1,4.55
Necesito cancelar mi servicio lo antes posible,CNCL,low,20,6,3.34
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,9,2,5.23
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,14,4,4.71
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,11,5,4.63
Mi factura tiene un cobro que no reconozco este mes,BILL,high,5,5,1.87
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,6,6,12.22
Mi factura tiene un cobro que no reconozco este mes,BILL,low,17,3,8.28
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,medium,22,1,5.02
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,low,9,4,6.23
El internet está muy lento y no logro conectarme bien,TECH,medium,13,2,5.96
Tengo una consulta general sobre mi cuenta,OTHR,low,15,6,10.93
El internet está muy lento y no logro conectarme bien,TECH,low,8,0,10.36
El internet está muy lento y no logro conectarme bien,TECH,medium,15,6,4.06
El internet está muy lento y no logro conectarme bien,TECH,low,5,6,14.65
Mi factura tiene un cobro que no reconozco este mes,BILL,low,4,5,6.8
Mi factura tiene un cobro que no reconozco este mes,BILL,low,22,5,8.22
Quiero cambiar mi plan actual por uno de mayor velocidad,PLAN,high,23,5,2.79
El internet está muy lento y no logro conectarme bien,TECH,medium,23,6,5.88
Mi factura tiene un cobro que no reconozco este mes,BILL,medium,14,5,3.26
Necesito cancelar mi servicio lo antes posible,CNCL,medium,5,6,2.02
